,CNY,DRR,INR,PSK,URR,CEW,CROC,CYB,DBV,EUFX,EUO,FPE,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXSG,FXY,IPFF,PFF,PGF,PGX,SPFF,UDN,ULE,USDU,UUP,YCL,YCS
2016-03-09,42.51,58.0,36.91,44.823537,17.38,17.1723,54.50100000000001,24.7905,23.194248,43.1571,24.8126,15.570981,72.726173,139.16000400000001,74.268967,75.58000200000001,107.57,96.599998,116.360001,70.76146700000001,85.389999,12.952776,32.050983,15.486818,12.355222999999999,10.384227000000001,21.47254,15.8116,26.9063,24.928169,61.1656,77.6602
2016-03-10,42.51,56.2149,37.1299,44.826961,17.5,17.192999999999998,54.9966,24.7971,23.006560999999998,42.4882,24.0345,15.570981,72.395813,139.729996,73.76265,75.58000200000001,109.300003,97.900002,117.0,70.76146700000001,85.540001,13.066239999999999,32.050983,15.495182000000002,12.371994,10.392265,21.679668,16.3071,26.7549,24.681061,61.3836,77.37899999999998
2016-03-11,42.51,56.2507,37.1,44.972086,17.5,17.3133,53.3342,24.8994,23.204128,42.5912,24.155,15.654917000000001,73.464478,140.630005,74.38810699999999,75.58000200000001,109.010002,98.019997,117.0,71.596405,85.089996,13.101154,32.243202000000004,15.553717,12.413936,10.512823,21.659941,16.2246,26.6861,24.661295000000003,60.7241,78.21
2016-03-14,42.6,57.1,37.03,44.985357,17.5,17.2752,54.0812,24.9165,23.095465,42.7908,24.3837,15.671710000000001,72.949585,139.869995,74.199486,75.58000200000001,108.470001,97.589996,117.33000200000001,71.596405,85.110001,13.284447,32.218136,15.562083,12.422323,10.512823,21.581034,16.0691,26.7882,24.760134,60.6648,78.2737
2016-03-15,41.2994,56.68,37.03,44.804534000000004,18.08,17.164,54.8178,24.8666,22.838631,42.7516,24.3408,15.654917000000001,72.473549,138.46000700000002,73.643509,75.58000200000001,108.610001,97.599998,117.720001,71.596405,85.599998,13.013873,32.101131,15.529597,12.382527,10.43245,21.561308,16.0968,26.8547,24.779905,61.431,77.2844
2016-03-16,42.05,56.23,37.11,44.904049,17.5334,17.1081,53.2949,24.8078,22.917656,42.2817,23.8166,15.663312,73.483932,139.649994,75.01355,75.58000200000001,109.809998,98.650002,119.010002,71.596405,85.970001,13.258261,32.193069,15.546406,12.416248,10.512823,21.807894,16.4426,26.5697,24.513029,62.0227,76.5369
2016-03-17,42.14,54.65,37.4,44.97664,18.3,17.5109,52.0459,24.9299,23.105342999999998,41.9546,23.4374,15.671710000000001,74.299988,141.809998,75.748207,75.779999,110.650002,99.550003,119.709999,71.596405,86.91999799999999,13.380454,32.251568,15.588423,12.441536,10.528899000000001,22.005159,16.7023,26.2673,24.295574,63.31800000000001,74.9316
2016-03-18,42.37,54.9863,37.46,44.677648,18.3,17.5458,52.7138,25.0425,23.036196,42.1178,23.6164,15.738860999999998,73.88224,141.639999,75.500023,77.16999799999999,110.199997,99.279999,119.709999,71.596405,86.68,13.616119,32.310081,15.613635999999998,12.466821000000001,10.544974,21.926251999999998,16.5743,26.3214,24.354879,62.9897,75.319
2016-03-21,42.24,55.3,37.6,44.723772,18.087,17.5298,52.9331,24.9769,23.006560999999998,42.2305,23.7463,15.738860999999998,73.707375,140.66000400000001,75.222031,77.16999799999999,109.900002,99.370003,119.709999,71.596405,86.559998,13.616119,32.285004,15.613635999999998,12.449964999999999,10.536934,21.886799,16.4815,26.4054,24.433954,62.7604,75.5843
2016-03-22,42.38,55.97,37.31,44.73658,18.087,17.5996,52.3439,24.947,23.085588,42.3347,23.8611,15.764045999999999,74.134819,139.009995,75.49009699999999,77.16999799999999,109.639999,99.0,119.029999,71.596405,86.190002,13.4852,32.360199,15.630443,12.47525,10.544974,21.807894,16.4008,26.4374,24.503145,62.2918,76.146
2016-03-23,42.0,56.08,37.49,44.767565999999995,18.087,17.4755,53.6813,24.9117,22.90778,42.4894,24.0342,15.74107,73.153595,138.080002,74.507248,77.16999799999999,109.25,98.790001,118.5,72.05364200000001,86.089996,13.747047,32.343494,15.672459,12.483678,10.536934,21.689531,16.2813,26.6242,24.631641000000002,62.1213,76.3509
2016-03-24,42.0,56.25,37.49,44.82302,18.087,17.3828,53.5508,24.8341,22.957169,42.4829,24.0391,15.69885,73.260452,138.419998,74.328537,77.16999799999999,109.260002,98.709999,117.989998,72.05364200000001,85.809998,13.764503,32.393639,15.689262,12.508969,10.528899000000001,21.679668,16.2772,26.6491,24.641525,61.7088,76.8542
2016-03-28,41.7,56.25,37.45,44.961621,17.85,17.4446,53.3465,24.8163,22.967049,42.3963,23.9429,15.724179000000001,73.318764,139.509995,74.616447,77.16999799999999,109.449997,98.879997,118.260002,72.322014,85.32,13.79069,32.493930999999996,15.731285999999999,12.542686,10.553014,21.719122,16.3401,26.5794,24.592102,61.0741,77.6327
2016-03-29,41.7,55.44,37.5,45.006974,17.85,17.4485,51.9822,24.8518,23.075708,42.0222,23.5198,15.74107,74.338829,140.800003,75.341164,77.16999799999999,110.379997,99.68,118.260002,72.322014,85.949997,14.035079999999999,32.552425,15.756492000000001,12.551112,10.577124000000001,21.906527,16.6277,26.3638,24.374648999999998,61.8959,76.5844
2016-03-30,41.862,54.5488,37.77,45.052793,18.42,17.7021,51.5982,24.964000000000002,23.223882999999997,41.8859,23.3639,15.749513,74.562271,140.679993,75.916969,76.150002,110.75,99.82,120.260002,72.09343,86.07,14.078721,32.585873,15.781702,12.567972,10.61731,21.975571,16.737000000000002,26.267,24.295574,62.0728,76.3617
2016-03-31,42.3,53.9814,37.69,44.930053,18.7799,17.7917,51.6243,25.0488,23.085588,41.7272,23.19,15.766404999999999,74.562271,140.559998,75.777977,76.150002,111.18,100.16999799999999,120.620003,72.09343,86.019997,14.052535,32.619293,15.798514,12.5764,10.681609,22.015022000000002,16.8611,26.2338,24.256039,61.9523,76.5072
2016-04-01,42.3101,54.03,37.61,44.682153,18.6,17.7059,51.4206,25.0298,23.026318,41.6863,23.1463,15.665065,74.69010899999999,139.199997,75.619125,76.849998,111.290001,100.440002,120.699997,72.09343,86.66999799999999,13.89985,32.411007,15.697672,12.433105,10.598742,22.024885,16.8921,26.2248,24.246154999999998,62.9372,75.2864
2016-04-04,42.39,53.8,37.5601,44.498081,18.6875,17.7281,52.4516,25.0251,22.878142999999998,41.6766,23.1343,15.690404999999998,73.980133,139.580002,75.291519,75.75,111.300003,100.349998,120.699997,72.09343,86.970001,13.996374,32.335411,15.622035999999998,12.416248,10.558321000000001,22.034751999999997,16.8991,26.2444,24.226385,63.2756,74.8726
2016-04-05,42.4,53.8196,37.68,44.590021,18.6875,17.5713,53.3633,25.0065,22.789238,41.6976,23.1596,15.715734,73.299385,138.529999,74.795135,75.75,111.209999,100.620003,120.160004,72.09343,87.660004,13.829645999999999,32.251427,15.622035999999998,12.416248,10.534069,22.024885,16.8799,26.313000000000002,24.246154999999998,64.4375,73.4907
2016-04-06,42.5,53.655,37.7,44.688489000000004,18.704,17.5518,52.3682,24.9717,22.848507,41.6513,23.1117,15.749513,74.048233,138.21000700000002,75.162453,75.75,111.360001,100.690002,120.139999,72.09343,88.160004,13.961275,32.251427,15.638851,12.449964999999999,10.574489,22.044615,16.9145,26.2356,24.196732,65.1009,72.7288
2016-04-07,42.3,54.1099,37.7,44.528118,18.704,17.5371,53.7195,24.98,22.759605,41.7561,23.2209,15.732623,73.046516,137.5,74.87458000000001,75.75,111.120003,100.709999,120.089996,72.09343,89.269997,14.435132999999999,32.167435,15.622035999999998,12.424675,10.517897,22.034751999999997,16.8339,26.2804,24.226385,66.7492,70.8814
2016-04-08,42.01,53.84,37.7,44.705738000000004,18.704,17.6271,53.0586,24.9588,22.8979,41.6533,23.1035,15.791741,73.484161,138.229996,75.66877,75.75,111.389999,100.940002,120.089996,72.09343,89.440002,14.610638,32.318615,15.65565,12.483678,10.582574000000001,22.123520000000003,16.9182,26.1626,24.137426,66.9771,70.637
2016-04-11,42.43,53.72,37.72,44.844643,18.61,17.7418,52.4358,25.0188,22.967049,41.6308,23.079,15.808628,73.931519,139.300003,76.26445799999999,75.75,111.400002,100.889999,120.68,72.09343,89.699997,14.707164,32.385811,15.697672,12.492109,10.606829,22.182701,16.9343,26.0549,24.078121,67.2986,70.2889
2016-04-12,42.6,53.9,37.72,44.884791,18.61,17.7756,51.20399999999999,25.0368,23.194248,41.6828,23.1396,15.800179,74.797073,139.570007,77.138077,75.75,111.279999,100.779999,120.68,72.09343,89.25,14.926545,32.444607,15.706076000000001,12.525826,10.663419000000001,22.172836,16.8893,26.004,24.078121,66.6204,70.9943
2016-04-13,42.49,54.845,37.72,44.997135,18.4147,17.8129,51.6032,25.0251,23.312788,42.0919,23.5909,15.808628,74.495575,138.979996,76.78067,75.75,110.220001,99.57,120.68,72.560562,88.559998,14.636964,32.511790999999995,15.748091,12.551112,10.703842,21.985433999999998,16.5583,26.1668,24.265921,65.6189,72.0603
2016-04-14,,,,45.024829,,17.7855,51.0752,24.948,23.30291,42.1876,23.6946,15.825520000000001,74.84569499999999,138.470001,76.562271,75.650002,109.970001,99.589996,120.5,72.063583,88.440002,14.636964,32.520184,15.764895000000001,12.559545,10.720011999999999,21.936117000000003,16.4842,26.2017,24.325229999999998,65.4171,72.2787
2016-04-15,42.3,54.83,37.72,44.943139,18.4147,17.782,50.7686,24.9704,23.322666,42.0838,23.5822,15.833966,75.117981,138.91000400000001,76.661537,75.849998,110.209999,99.459999,120.480003,71.86479200000001,89.029999,14.628182,32.553787,15.758581,12.545237,10.728098,22.005159,16.5622,26.16,24.256039,66.2869,71.3194
2016-04-18,42.34,54.865,37.72,45.00375,18.31,17.7677,50.31800000000001,24.9796,23.411572,41.9875,23.4778,15.867745999999999,75.419472,139.600006,76.899811,75.849998,110.470001,99.75,120.480003,72.063583,88.910004,14.505332999999998,32.553787,15.758581,12.562176,10.736179,22.054478,16.6338,26.1041,24.206615,66.1754,71.4315
2016-04-19,42.44,54.07,37.7,45.111481,18.4,17.9465,49.392,25.0302,23.490599,41.784,23.2504,15.918410999999999,76.110031,140.850006,77.703964,75.849998,110.989998,100.139999,121.220001,72.063583,88.690002,14.689615,32.704956,15.817697,12.613002,10.833196000000001,22.162971,16.7944,25.961,24.088005,65.7229,71.9162
2016-04-20,41.9094,54.9488,37.71,45.148133,18.265,17.9484,49.7581,25.0606,23.589378,42.0486,23.5332,15.884626999999998,75.818214,140.229996,77.793289,76.199997,110.279999,98.959999,120.739998,72.063583,88.139999,14.821239000000002,32.73856,15.834582000000001,12.613002,10.849361,22.034751999999997,16.5896,26.0612,24.226385,65.0017,72.7013
